series,adf_stat,p_value,n,crit_1%,crit_5%,crit_10%
Price level (full),-2.018653135521266,0.27845471012993206,8360,-3.431135743841737,-2.861887244344303,-2.5669548333234133
Log returns (full),-12.603088598261765,1.7191109143088512e-23,8359,-3.431135366372075,-2.8618870775509087,-2.5669547445378043
Price level (last 10y),-0.03837447126459422,0.9552411294002292,2535,-3.43293324257297,-2.8626812695784225,-2.5673775408540145
Log returns (last 10y),-3.9518351865294585,0.0016848131752461638,2534,-3.4329610922579095,-2.8626935681060375,-2.567384088736619
